PUD8209OG3,MBA8071P,KUL,PEK,1420563856,572
WTC9125IE5,DKZ3042O,MIA,SFO,1420563927,538
BWI0520BG6,QHU1140O,CDG,LAS,1420564498,1133
EDV2089LK5,ULZ8130D,CAN,DFW,1420564983,1683
UES9151GS5,GMO5938W,LHR,PEK,1420564317,1057
JBE2302VO4,VYU9214I,ORD,DXB,1420564716,1510
UES9151GS5,SQU6245R,DEN,FRA,1420564460,1049
BWI0520BG6,HZT2506M,IAH,AMS,1420564324,1044
YMH6360YP0,RUM0422W,MUC,MAD,1420563539,194
DAZ3029XA0,EWH6301Y,CAN,DFW,1420564967,1683
PIT2755XC1,SOH3431A,ORD,MIA,1420563649,250
WTC9125IE5,DKZ3042O,MIA,SFO,1420563927,538
POP2875LH3,VYW5940P,LAS,SIN,1420565203,1843
MXU9187YC7,QHU1140O,CDG,LAS,1420564498,1133
EZC9678QI6,VYU9214I,ORD,DXB,1420564716,1510
CYJ0225CH1,WSK1289Z,CLT,DEN,1420563542,278
DAZ3029XA0,TMV7633W,CGK,DXB,1420563958,849
EZC9678QI6,VYW5940P,LAS,SIN,1420565203,1843
