XFG5747ZT9,SQU6245R,DEN,FRA,1420564460,1049
HGO4350KK1,VYU9214I,ORD,DXB,1420564716,1510
HGO4350KK1,YZO4444S,BKK,MIA,1420565330,2027
POP2875LH3,XOY7948U,ATL,LHR,1420564038,877
CKZ3132BR4,QHU1140O,CDG,LAS,1420564498,1133
SPR4484HA6,BER7172M,KUL,LAS,1420565167,1848
SPR4484HA6,BER7172M,KUL,LAS,1420565167,1848
CKZ3132BR4,XXQ4064B,JFK,FRA,1420563917,802
CXN7304ER2,FYL5866L,ATL,HKG,1420565140,1751
HGO4350KK1,RUM0422W,MUC,MAD,1420563539,194
KKP5277HZ7,VYW5940P,LAS,SIN,1420565203,1843
CYJ0225CH1,DAU2617A,CGK,SFO,1420564986,1811
JBE2302VO4,SOH3431A,ORD,MIA,1420563649,250
VZY2993ME1,EWH6301Y,CAN,DFW,1420564967,1683
IEG9308EA5,GMO5938W,LHR,PEK,1420564317,1057
SPR4484HA6,ULZ8130D,CAN,DFW,1420564983,1683
CXN7304ER2,XOY7948U,ATL,LHR,1420564038,877
IEG9308EA5,TMV7633W,CGK,DXB,1420563958,849
