XFG5747ZT9,HUR0974O,DEN,PVG,1420564525,1398
YMH6360YP0,WPW9201U,DFW,PEK,1420564869,1452
LLZ3798PE3,SQU6245R,DEN,FRA,1420564460,1049
XFG5747ZT9,KJR6646J,IAH,BKK,1420565203,1928
IEG9308EA5,MOO1786A,MAD,FRA,1420563408,184
DAZ3029XA0,BER7172M,KUL,LAS,1420565167,1848
POP2875LH3,HZT2506M,IAH,AMS,1420564324,1044
XFG5747ZT9,YZO4444S,BKK,MIA,1420565330,2027
CDC0302NN5,ULZ8130D,CAN,DFW,1420564983,1683
POP2875LH3,RUM0422W,MUC,MAD,1420563539,194
EZC9678QI6,DAU2617A,CGK,SFO,1420564986,1811
EZC9678QI6,WSK1289Z,CLT,DEN,1420563542,278
WBE6935NU3,XOY7948U,ATL,LHR,1420564038,877
WYU2010YH8,FYL5866L,ATL,HKG,1420565140,1751
CKZ3132BR4,WSK1289Z,CLT,DEN,1420563542,278
EDV2089LK5,XIL3623J,PEK,LAX,1420564414,1302
YMH6360YP0,SQU6245R,DEN,FRA,1420564460,1049
WYU2010YH8,BER7172M,KUL,LAS,1420565167,1848
